date,ticker,open,high,low,close,volume,dividend,return,price chg
2006-06-30,AGG,97.55,97.62,97.4,97.44,187400,0.383,,
2006-07-31,AGG,98.5,98.61,98.4,98.4,491100,0.388,1.013834,1.009852
2006-08-31,AGG,99.49,99.72,99.46,99.55,169200,0.409,1.015843,1.011687
2006-09-30,AGG,100.22,100.35,100.08,100.16,414400,0.393,1.010075,1.006128
2006-10-31,AGG,100.06,100.43,100.02,100.43,189800,0.414,1.006829,1.002696
2006-11-30,AGG,100.94,101.13,100.86,101.07,210500,0.422,1.010575,1.006373
2006-12-31,AGG,99.73,99.73,99.61,99.7,278800,0.767,0.994034,0.986445
2007-01-31,AGG,99.51,99.82,99.43,99.63,386400,0.0,0.999298,0.999298
2007-02-28,AGG,100.92,100.96,100.62,100.86,533700,0.393,1.01629,1.012346
2007-03-31,AGG,100.42,100.43,100.07,100.26,435200,0.394,0.997958,0.994051
2007-04-30,AGG,100.3,100.46,100.24,100.46,298600,0.389,1.005875,1.001995
2007-05-31,AGG,99.25,99.35,99.12,99.16,506000,0.382,0.990862,0.98706
2007-06-30,AGG,98.31,98.46,98.18,98.36,506700,0.428,0.996248,0.991932
2007-07-31,AGG,98.63,99.01,98.6,98.99,529100,0.421,1.010685,1.006405
2007-08-31,AGG,99.7,100.09,99.52,99.82,201000,0.431,1.012739,1.008385
2007-09-30,AGG,99.98,100.26,99.81,100.02,336100,0.429,1.006301,1.002004
2007-10-31,AGG,100.56,100.86,100.41,100.61,767000,0.414,1.010038,1.005899
2007-11-30,AGG,101.52,102.11,101.28,101.99,1734300,0.417,1.017861,1.013716
2007-12-31,AGG,101.32,101.38,100.85,101.17,708000,0.816,0.999961,0.99196
2008-01-31,AGG,103.48,103.62,103.07,103.51,649200,0.0,1.023129,1.023129
2008-02-29,AGG,102.9,103.3,102.49,102.93,922900,0.415,0.998406,0.994397
2008-03-31,AGG,102.94,103.15,102.68,102.68,555900,0.383,1.001292,0.997571
2008-04-30,AGG,101.97,102.6,101.48,102.6,813300,0.415,1.003263,0.999221
2008-05-31,AGG,100.96,101.27,100.85,100.98,1132500,0.326,0.987388,0.984211
2008-06-30,AGG,100.66,100.76,100.36,100.4,639600,0.394,0.998158,0.994256
2008-07-31,AGG,100.37,100.65,100.11,100.41,559600,0.384,1.003924,1.0001
2008-08-31,AGG,101.26,101.26,100.42,100.75,701500,0.402,1.00739,1.003386
2008-09-30,AGG,98.25,99.29,97.03,98.59,655400,0.394,0.982471,0.978561
2008-10-31,AGG,95.54,96.3,95.11,95.96,732700,0.39,0.97728,0.973324
2008-11-30,AGG,98.93,99.26,98.1,98.45,294800,0.4,1.030117,1.025948
2008-12-31,AGG,104.24,104.33,103.54,104.2,612055,0.779,1.066318,1.058405
2009-01-31,AGG,101.65,102.33,101.63,102.13,608300,0.0,0.980134,0.980134
2009-02-28,AGG,100.62,100.95,100.5,100.69,463800,0.366,0.989484,0.9859
2009-03-31,AGG,101.0,101.47,100.73,101.47,638100,0.327,1.010994,1.007747
2009-04-30,AGG,101.33,101.64,100.96,101.64,760700,0.351,1.005135,1.001675
2009-05-31,AGG,100.8,102.15,100.8,102.03,1142100,0.329,1.007074,1.003837
2009-06-30,AGG,101.98,102.3,101.92,102.15,805500,0.308,1.004195,1.001176
2009-07-31,AGG,102.95,103.33,102.75,103.1,1058900,0.342,1.012648,1.0093
2009-08-31,AGG,103.75,104.02,103.7,104.02,809600,0.334,1.012163,1.008923
2009-09-30,AGG,104.65,104.92,104.64,104.92,818800,0.332,1.011844,1.008652
2009-10-31,AGG,104.5,104.84,104.46,104.81,515202,0.342,1.002211,0.998952
2009-11-30,AGG,105.63,105.83,105.34,105.83,632700,0.324,1.012823,1.009732
2009-12-31,AGG,103.04,103.3,102.78,103.19,651800,0.655,0.981244,0.975054
2010-01-31,AGG,104.34,104.72,104.32,104.65,748600,0.0,1.014149,1.014149
2010-02-28,AGG,104.5,104.65,104.5,104.53,658600,0.327,1.001978,0.998853
2010-03-31,AGG,104.17,104.34,104.15,104.2,808300,0.323,0.999933,0.996843
2010-04-30,AGG,104.49,104.95,104.49,104.89,920200,0.321,1.009702,1.006622
2010-05-31,AGG,105.58,105.81,105.57,105.71,658900,0.312,1.010792,1.007818
2010-06-30,AGG,107.32,107.35,107.04,107.25,1050800,0.324,1.017633,1.014568
2010-07-31,AGG,107.94,107.96,107.72,107.85,937100,0.314,1.008522,1.005594
2010-08-31,AGG,108.85,108.99,108.74,108.94,737700,0.294,1.012833,1.010107
2010-09-30,AGG,108.64,108.7,108.29,108.65,2628600,0.298,1.000073,0.997338
2010-10-31,AGG,108.45,108.55,108.36,108.55,963600,0.265,1.001519,0.99908
2010-11-30,AGG,107.74,107.74,107.33,107.37,767900,0.276,0.991672,0.989129
2010-12-31,AGG,105.38,105.75,105.37,105.75,551600,0.897,0.993266,0.984912
2011-01-31,AGG,105.85,105.94,105.59,105.66,1691500,0.0,0.999149,0.999149
2011-02-28,AGG,105.53,105.65,105.46,105.65,558200,0.316,1.002896,0.999905
2011-03-31,AGG,105.37,105.4,105.13,105.13,1014400,0.285,0.997776,0.995078
2011-04-30,AGG,106.24,106.49,106.24,106.46,499153,0.313,1.015628,1.012651
2011-05-31,AGG,107.32,107.62,107.28,107.46,1047300,0.316,1.012361,1.009393
2011-06-30,AGG,106.87,106.91,106.4,106.67,1295600,0.313,0.995561,0.992648
2011-07-31,AGG,107.8,108.2,107.7,108.16,1400700,0.304,1.016818,1.013968
2011-08-31,AGG,109.78,109.88,109.49,109.5,2444400,0.3,1.015163,1.012389
2011-09-30,AGG,110.0,110.22,109.86,110.11,1020700,0.232,1.007689,1.005571
2011-10-31,AGG,109.83,110.03,109.73,110.03,1747000,0.219,1.001262,0.999273
2011-11-30,AGG,109.59,109.61,109.27,109.38,1280300,0.287,0.996701,0.994093
2011-12-31,AGG,110.51,110.64,110.24,110.25,1098300,0.606,1.013494,1.007954
2012-01-31,AGG,110.84,111.07,110.72,111.05,3255900,0.0,1.007256,1.007256
2012-02-29,AGG,110.94,110.94,110.6,110.76,1993600,0.275,0.999865,0.997389
2012-03-31,AGG,110.11,110.11,109.69,109.85,1121300,0.277,0.994285,0.991784
2012-04-30,AGG,110.73,110.73,110.59,110.6,881900,0.243,1.00904,1.006827
2012-05-31,AGG,111.45,111.62,111.35,111.56,2984100,0.23,1.010759,1.00868
2012-06-30,AGG,111.25,111.33,111.2,111.3,2052800,0.238,0.999803,0.997669
2012-07-31,AGG,112.58,112.65,112.43,112.59,983600,0.223,1.013594,1.01159
2012-08-31,AGG,112.1,112.43,112.07,112.37,1203400,0.22,1.0,0.998046
2012-09-30,AGG,112.39,112.46,112.25,112.45,2745500,0.219,1.002661,1.000712
2012-10-31,AGG,112.04,112.24,112.0,112.19,2200200,0.207,0.999529,0.997688
2012-11-30,AGG,112.26,112.32,112.19,112.25,908600,0.243,1.002701,1.000535
2012-12-31,AGG,111.25,111.26,111.02,111.08,905400,0.896,0.997559,0.989577
2013-01-31,AGG,110.3,110.39,110.26,110.39,1970000,0.0,0.993788,0.993788
2013-02-28,AGG,110.69,110.83,110.69,110.83,1212718,0.211,1.005897,1.003986
2013-03-31,AGG,110.68,110.78,110.65,110.73,2343300,0.209,1.000983,0.999098
2013-04-30,AGG,111.59,111.68,111.48,111.54,1853100,0.26,1.009663,1.007315
2013-05-31,AGG,109.4,109.47,108.88,109.11,1616800,0.202,0.980025,0.978214
2013-06-30,AGG,106.93,107.35,106.85,107.21,2674000,0.195,0.984374,0.982586
2013-07-31,AGG,106.81,107.32,106.77,107.3,1361945,0.198,1.002686,1.000839
2013-08-31,AGG,106.4,106.52,106.21,106.21,1670406,0.205,0.991752,0.989842
2013-09-30,AGG,107.29,107.33,107.15,107.2,1439520,0.198,1.011185,1.009321
